"Word","frequency"
"aamir",2
"aaron",2
"abcs",2
"abide",2
"ability",10
"able",28
"abortion",3
"about",317
"above",18
"abroad",4
"absolutely",7
"abundance",2
"abuse",3
"abused",2
"academic",6
"academics",3
"academy",4
"acc",2
"accent",2
"accents",2
"accept",11
"acceptable",2
"accepted",4
"accepting",3
"access",10
"accessibility",2
"accident",3
"accidental",2
"accidentally",4
"accommodate",2
"accompany",2
"accomplish",6
"accomplishment",3
"according",21
"account",16
"accounts",4
"accuracy",2
"accurate",5
"accurately",2
"accused",2
"ace",2
"achieve",2
"achievement",5
"achieving",3
"acid",4
"acknowledge",2
"acknowledged",4
"acl",3
"acme",2
"acquisition",2
"acres",2
"acrisius",3
"across",18
"acrylic",2
"act",11
"acted",3
"acting",4
"action",15
"actions",3
"active",2
"activist",2
"activists",4
"activities",9
"activity",4
"actor",2
"actors",2
"actress",2
"acts",2
"actual",6
"actually",33
"adams",6
"adapted",2
"add",17
"addams",2
"added",12
"addicted",2
"addiction",2
"adding",6
"addition",10
"additional",6
"address",10
"addresses",3
"adds",2
"adjust",2
"adjustment",2
"administration",4
"administrative",3
"administrator",2
"administrators",2
"admission",3
"admit",6
"admitted",3
"adopted",4
"adoptive",2
"adore",4
"adresses",2
"ads",2
"adult",3
"adults",8
"advance",3
"advanced",2
"advantage",4
"adventure",3
"adversity",2
"advertising",2
"advice",10
"adviser",3
"advisory",2
"advocated",2
"advocates",2
"affair",5
"affairs",3
"affect",5
"affection",2
"afford",6
"affordable",5
"afghanistan",3
"afraid",5
"africa",5
"after",165
"afternoon",9
"afterward",2
"afterwards",2
"again",66
"against",35
"age",20
"agencies",5
"agency",13
"agenda",5
"agent",5
"agents",3
"ages",2
"aging",3
"ago",35
"agree",7
"agreed",6
"agreement",5
"agreements",3
"ahead",14
"ahi",3
"ahold",2
"aid",5
"aim",3
"aims",2
"aint",8
"air",20
"airbnb",2
"airlines",3
"airpopped",2
"airport",5
"aisles",2
"akron",4
"alabama",3
"alarm",4
"alas",2
"alaska",2
"alawlaki",2
"albert",3
"alberta",2
"album",15
"alcohol",5
"ale",2
"alert",4
"alex",6
"alice",2
"aliens",2
"alig",2
"alike",4
"alive",3
"all",293
"allegations",2
"alleged",5
"allen",2
"alliance",3
"allies",2
"allison",2
"allow",5
"allowance",3
"allowed",8
"allowing",7
"allows",5
"allstar",3
"almost",29
"alone",16
"along",23
"alongside",3
"already",36
"alright",8
"also",145
"altered",2
"alternate",3
"alternative",5
"although",22
"altogether",3
"always",67
"amand",2
"amazed",2
"amazing",36
"amazon",5
"amen",4
"amendment",2
"america",10
"american",18
"americans",8
"americas",3
"amid",3
"ammunition",3
"among",23
"amount",11
"amusing",2
"amy",3
"anaheim",2
"analysis",5
"analysts",3
"analytics",2
"anchor",2
"and",2430
"anderson",2
"andor",2
"andrew",3
"android",5
"andy",3
"angel",3
"angeles",5
"angels",2
"anger",6
"angry",3
"animal",8
"animals",3
"ankle",2
"ann",2
"anna",4
"anne",3
"anniversary",3
"announced",9
"announcement",3
"annoyed",2
"annoying",4
"annual",6
"annually",2
"another",70
"answer",16
"answers",2
"antebellum",2
"anthem",2
"anthony",4
"antistatist",2
"anwar",2
"anxiety",2
"any",97
"anybody",4
"anyhow",2
"anymore",16
"anyone",34
"anything",45
"anytime",3
"anyway",16
"anyways",2
"anywhere",3
"apart",10
"apartment",3
"apologize",4
"apology",2
"app",9
"apparent",4
"apparently",8
"appeal",2
"appear",5
"appearances",2
"appeared",6
"appears",9
"applauding",2
"apple",5
"apples",5
"application",3
"applications",3
"applied",2
"apply",3
"appointment",2
"appreciate",6
"appreciative",2
"approach",6
"approachable",2
"approaches",3
"appropriate",3
"approval",4
"approved",6
"apps",3
"appt",2
"april",18
"arduino",2
"are",463
"area",14
"areas",9
"arena",5
"arent",13
"argentina",2
"argue",3
"arguing",2
"arizona",6
"arm",3
"armed",3
"arms",5
"army",4
"around",58
"arrangement",2
"arrest",7
"arrested",9
"arrive",3
"arrived",6
"arrogant",2
"art",16
"arthur",2
"artichoke",2
"article",12
"articles",4
"artificial",2
"artist",10
"artistic",3
"artists",4
"arts",10
"asap",4
"asia",3
"asian",4
"aside",3
"ask",24
"asked",31
"asking",14
"asks",5
"asleep",8
"asner",2
"aspiring",2
"ass",14
"assad",2
"assault",3
"assemblyman",2
"asses",2
"assessment",3
"assets",2
"asshole",2
"assigned",3
"assignments",2
"assistance",2
"assistant",4
"assists",2
"associate",2
"associated",5
"association",10
"assume",4
"assuming",2
"assured",2
"asthma",2
"astros",2
"ate",10
"athlete",2
"athletes",3
"atlanta",4
"atmosphere",3
"atp",2
"attack",4
"attacked",5
"attacks",3
"attempt",7
"attempted",3
"attempting",2
"attend",3
"attendance",2
"attended",4
"attending",4
"attention",10
"attic",4
"attitude",3
"attorney",14
"attorneys",5
"attract",2
"attractive",2
"attributes",2
"aubrey",2
"auburn",2
"auction",3
"audience",3
"audiences",3
"audio",3
"audition",3
"aug",2
"august",7
"aunt",3
"aussie",2
"austin",15
"australia",2
"authentic",4
"author",11
"authorities",4
"authority",3
"authors",2
"auto",3
"available",18
"ave",3
"avengers",4
"avenue",5
"average",3
"averaging",3
"avoid",5
"avoided",2
"awake",4
"award",5
"awards",6
"awareness",2
"away",48
"awe",2
"aweinspiring",2
"awesome",23
"awful",2
"awh",2
"awhile",4
"awkward",4
"babies",3
"baby",20
"baccarat",2
"bach",2
"bachelor",2
"bachmann",2
"back",173
"backed",3
"background",5
"backs",3
"backtoback",2
"backwards",3
"backyard",3
"bad",36
"badly",3
"bag",3
"bagels",2
"bags",3
"bail",3
"bailey",5
"bailout",2
"bajan",2
"bake",2
"baked",4
"baker",2
"baking",5
"balance",4
"balked",2
"ball",15
"ballet",3
"ballot",5
"balls",3
"baltimore",7
"band",7
"bands",2
"bang",4
"bank",8
"bankruptcy",5
"banks",8
"banned",2
"baptist",2
"bar",13
"barack",4
"barbara",5
"barbie",2
"barcelona",2
"barely",5
"bargain",2
"barn",4
"barney",2
"barrel",4
"bars",5
"base",9
"baseball",5
"based",11
"baseman",2
"basement",4
"bash",2
"basically",5
"basis",3
"basket",2
"basketball",7
"baskets",2
"bass",2
"bath",4
"bathroom",4
"bats",2
"battle",7
"battles",2
"battling",2
"bay",6
"bbq",5
"bday",2
"beach",12
"bead",2
"beadmaker",2
"beads",3
"beans",8
"bear",12
"beard",2
"bears",4
"beast",2
"beat",14
"beaten",4
"beating",2
"beats",2
"beautiful",24
"beautifully",2
"beauty",5
"became",18
"because",124
"become",21
"becomes",6
"becoming",6
"bed",15
"bedroom",4
"beef",7
"been",181
"beer",31
"beers",4
"beethoven",2
"beetle",2
"beets",2
"before",115
"began",9
"begin",6
"beginning",7
"begins",7
"begun",2
"behalf",3
"behavior",4
"behind",28
"beijing",2
"being",96
"beings",2
"belgium",2
"belial",2
"belief",4
"beliefs",2
"believe",27
"believed",7
"believes",7
"belleville",2
"bells",2
"belly",3
"belong",4
"belongings",2
"below",8
"belt",3
"ben",6
"benefit",7
"benefits",4
"benjamin",3
"bernie",2
"berry",2
"berth",2
"besides",5
"best",67
"bet",7
"beth",3
"bethany",2
"betrothal",2
"better",75
"between",33
"beverly",2
"beyond",11
"bfg",2
"bias",2
"bible",7
"bicycle",2
"bid",3
"bieber",3
"big",52
"bigger",11
"biggest",11
"bike",2
"bikes",3
"bikini",2
"bill",11
"billboard",2
"billion",12
"bills",5
"billy",3
"biltmore",2
"bin",4
"binder",2
"bio",3
"biography",2
"bipolar",2
"birth",2
"birthday",21
"bit",27
"bitch",7
"bitches",3
"bite",3
"bits",2
"bitterballen",2
"black",19
"blackburn",2
"blacks",2
"blade",4
"blah",6
"blaine",2
"blake",2
"blame",7
"blamed",3
"blaming",2
"blanket",3
"blazers",4
"blend",2
"blessed",3
"block",12
"blocks",4
"blog",26
"blogger",7
"bloggers",3
"blogging",5
"blogs",4
"blonde",2
"blood",6
"blow",3
"blown",2
"blows",3
"blue",8
"bluegrass",2
"blues",2
"blvd",2
"board",16
"boat",2
"bob",3
"bobblehead",2
"bobby",3
"bobcats",2
"bodhi",3
"bodies",4
"body",23
"boeheim",2
"boiling",2
"bolt",2
"bomb",2
"bombs",2
"bon",2
"bond",6
"bone",2
"bonnie",3
"bonus",3
"boo",7
"book",49
"booked",4
"booker",3
"books",18
"boost",4
"booth",4
"boots",3
"border",5
"bored",8
"bores",2
"boring",5
"born",13
"borrowing",2
"boss",9
"boston",6
"both",57
"bother",3
"bothered",2
"bottle",4
"bottles",2
"bottom",13
"bought",11
"bounce",3
"bound",3
"bout",6
"bowl",12
"bowls",3
"box",12
"boy",14
"boyfriend",8
"boys",9
"bracelet",2
"brad",2
"brain",3
"brains",2
"branch",3
"brand",9
"brandon",5
"brave",2
"bread",6
"break",16
"breakfast",11
"breaking",4
"breaks",4
"breakup",3
"breast",3
"breath",4
"breathe",2
"breathing",2
"breeze",3
"brenda",2
"brett",2
"brewers",3
"brewery",2
"brian",3
"brick",2
"bricks",2
"bridge",9
"bridgeton",2
"brief",3
"bright",6
"brighten",2
"brilliant",5
"brine",2
"bring",24
"bringing",9
"brings",8
"britain",2
"british",6
"bro",12
"broad",3
"broadcast",2
"broader",2
"broke",7
"broken",6
"broncos",2
"bronx",4
"bros",2
"brother",13
"brothers",8
"brought",14
"brown",8
"browns",3
"brownstein",3
"bruce",2
"brush",2
"brushing",2
"brussels",2
"brutally",2
"btw",2
"bucket",2
"bud",3
"buddha",2
"buddy",2
"budget",18
"budgets",2
"bueler",2
"build",10
"building",17
"buildings",2
"built",7
"bullet",3
"bullpen",2
"bulls",2
"bully",2
"bunch",5
"bunnies",2
"burden",2
"bureau",2
"bureaucracy",2
"burger",4
"burgers",2
"burned",5
"burst",2
"bury",2
"bus",9
"bush",6
"bushes",2
"business",42
"businesses",6
"busted",3
"busy",24
"but",488
"butler",3
"butter",4
"button",2
"buy",24
"buyers",2
"buyin",2
"buying",10
"bye",3
"byrd",4
"cabbage",3
"cabinet",2
"cable",4
"cabrera",3
"cacolac",2
"cafe",2
"cahaba",2
"cake",7
"caleb",4
"calendar",6
"california",8
"call",45
"called",34
"caller",2
"calling",13
"calls",13
"calm",2
"calorie",3
"calories",3
"camden",2
"came",34
"camera",5
"cameron",2
"camp",6
"campaign",17
"campaigns",2
"campus",6
"can",237
"canada",2
"canal",2
"canceled",2
"cancer",7
"candidate",4
"candidates",5
"candle",2
"candy",7
"canes",2
"canister",2
"canned",2
"cannot",9
"cant",96
"cap",4
"capacity",3
"capital",3
"capitol",2
"caps",3
"captain",6
"capture",2
"car",22
"carbon",2
"card",13
"cardiff",2
"cardinals",2
"cards",5
"cardstock",3
"care",22
"career",13
"careers",2
"careful",5
"carefully",5
"cares",2
"carl",4
"carly",2
"carol",3
"carole",2
"carolina",5
"carolyn",2
"carpenter",2
"carried",4
"carroll",4
"carrot",2
"carrots",2
"carry",9
"cars",6
"carter",4
"cartoonists",2
"cartridge",2
"carve",2
"cary",2
"cas",2
"casa",2
"case",30
"cases",14
"casey",4
"cash",6
"cashstrapped",2
"casino",3
"casket",2
"cast",5
"castle",4
"cat",4
"catch",11
"catcher",2
"catching",3
"catchy",2
"categories",2
"catering",4
"cathedral",2
"catherine",2
"catholic",2
"cats",5
"caught",5
"cause",19
"caused",4
"causes",3
"caution",2
"cbs",2
"cds",2
"cee",2
"ceiling",4
"celebrate",7
"celebrating",3
