"word1","word2","word3","word4","frequency"
"a","bite","to","eat",2
"a","chance","to","make",2
"a","chance","to","win",2
"a","few","days","later",2
"a","few","weeks","ago",3
"a","glass","of","wine",2
"a","good","way","to",2
"a","heck","of","a",2
"a","hole","in","the",2
"a","huge","fan","of",2
"a","letter","to","the",2
"a","lot","about","how",2
"a","lot","of","people",4
"a","lot","of","things",2
"a","lot","of","time",2
"a","man","and","a",2
"a","member","of","the",2
"a","nigga","like","me",2
"a","part","of","your",2
"a","scheme","to","use",2
"a","trip","to","the",2
"a","wide","variety","of",2
"about","the","same","number",2
"according","to","their","works",2
"after","i","finished","the",2
"all","the","way","to",2
"all","we","need","is",2
"am","in","my","life",2
"an","eye","out","for",2
"and","a","half","years",3
"and","a","lot","of",2
"and","at","the","same",2
"and","death","and","hell",2
"and","i","have","a",2
"and","i","plan","to",2
"and","i","want","to",2
"and","i","was","all",2
"and","i","will","be",2
"and","im","going","to",2
"and","matted","this","onto",2
"and","stuff","like","that",2
"and","thanks","for","being",2
"and","thats","just","the",2
"and","the","other","is",2
"and","the","rest","of",2
"and","very","proud","of",2
"are","trying","to","be",2
"as","a","team","makes",2
"as","long","as","you",3
"as","many","calories","as",2
"as","part","of","a",2
"as","part","of","their",3
"as","soon","as","i",2
"at","a","news","conference",2
"at","a","time","when",2
"at","home","with","my",2
"at","the","end","of",12
"at","the","hands","of",2
"at","the","moment","its",2
"at","the","nike","meet",2
"at","the","same","time",9
"at","the","top","of",2
"at","the","university","of",3
"away","from","those","who",2
"back","in","the","office",2
"be","made","by","being",2
"be","the","only","one",2
"becomes","a","part","of",2
"been","on","here","in",2
"but","a","lot","of",2
"but","at","the","same",2
"but","i","think","that",2
"but","i","want","to",2
"but","it","was","still",2
"but","you","have","to",2
"can","easily","do","without",2
"can","never","remember","to",2
"cant","wait","for","the",3
"cant","wait","to","see",4
"cant","wait","to","share",2
"cast","into","the","lake",2
"church","to","do","the",2
"city","kansas","missouri","news",10
"cleveland","hopkins","international","airport",2
"come","in","and","say",2
"could","have","been","the",2
"county","prosecutors","office","and",2
"dead","which","were","in",2
"did","not","want","to",2
"do","not","want","to",2
"do","something","about","it",2
"does","not","matter","how",2
"dont","know","how","to",2
"dont","know","what","they",2
"dont","know","what","to",2
"dont","talk","on","the",2
"dont","want","to","be",2
"dont","want","to","deal",3
"dont","want","to","do",2
"end","of","the","day",2
"every","step","of","the",2
"everyone","who","came","out",2
"excited","to","see","you",2
"fall","in","love","with",2
"few","weeks","ago","and",2
"find","the","time","to",3
"follow","me","follow","me",2
"for","a","few","hours",3
"for","a","long","time",2
"for","a","lot","of",2
"for","five","years","and",3
"for","less","than","a",3
"for","most","of","us",2
"for","the","first","time",6
"for","the","next","years",2
"for","the","rest","of",4
"for","the","shout","out",2
"for","the","simple","fact",2
"for","the","white","house",2
"for","yards","and","a",2
"friend","who","has","a",2
"from","am","to","pm",2
"from","the","university","of",2
"from","the","white","house",2
"get","into","the","building",2
"give","it","a","try",2
"go","back","to","bed",2
"go","out","and","do",2
"going","to","be","a",5
"going","to","be","an",2
"going","to","be","the",2
"going","to","have","to",2
"grab","a","bite","to",2
"happy","mothers","day","to",2
"hard","for","me","to",2
